               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049048,            0.028303,            0.035531,             0.58047,             0.37644,             0.28628,             0.19517,            0.012709,            0.011672,            0.013002,            0.070194,           0.0033118,           0.0033118
                   1,             0.02938,            0.015238,            0.023574,              0.2725,             0.43831,             0.35463,             0.26732,            0.012035,           0.0081345,            0.011522,            0.040128,           0.0065794,           0.0065794
                   2,            0.027576,            0.011496,             0.01923,             0.24099,             0.73233,              0.3743,             0.33207,            0.014082,           0.0063865,            0.009425,            0.009996,           0.0097809,           0.0097809
                   3,            0.023834,            0.010292,            0.018061,             0.40904,             0.70449,             0.56941,             0.53916,           0.0098192,           0.0061739,           0.0094415,            0.009703,            0.009703,            0.009703
                   4,            0.019409,            0.009121,            0.017404,             0.56785,             0.79049,             0.71896,             0.68577,           0.0087733,           0.0051673,           0.0064339,            0.009703,            0.009703,            0.009703
                   5,            0.017198,           0.0085485,            0.016434,             0.47848,              0.6606,             0.60201,             0.54543,           0.0052469,           0.0066628,            0.010753,            0.009604,            0.009604,            0.009604
                   6,            0.015636,           0.0082402,            0.015723,             0.57942,             0.75974,             0.73432,             0.65766,           0.0054596,           0.0050373,           0.0068698,            0.009505,            0.009505,            0.009505
                   7,            0.014352,           0.0079153,             0.01475,             0.53121,             0.80019,             0.65954,             0.65054,             0.00613,           0.0055362,           0.0074184,            0.009406,            0.009406,            0.009406
                   8,            0.012636,           0.0069162,            0.013438,             0.65179,             0.84007,             0.78611,             0.76984,           0.0037539,           0.0036669,           0.0059222,            0.009307,            0.009307,            0.009307
                   9,            0.013083,           0.0067271,            0.013536,             0.59297,             0.74975,             0.70215,             0.68816,           0.0053899,           0.0046597,           0.0085325,            0.009208,            0.009208,            0.009208
                  10,            0.012515,           0.0066986,            0.013697,             0.68754,             0.76457,             0.76416,             0.72233,              0.0053,           0.0056126,           0.0061971,            0.009109,            0.009109,            0.009109
                  11,            0.011124,           0.0061079,            0.013115,             0.65418,             0.83176,             0.79367,             0.77667,           0.0034395,           0.0045121,           0.0056731,             0.00901,             0.00901,             0.00901
                  12,            0.013224,           0.0059843,            0.013445,             0.70281,             0.74647,             0.74908,             0.74452,           0.0044634,           0.0065447,           0.0068765,            0.008911,            0.008911,            0.008911
                  13,            0.010732,            0.005975,            0.012959,             0.66777,              0.8288,             0.79484,             0.75905,           0.0044176,           0.0060962,            0.005367,            0.008812,            0.008812,            0.008812
                  14,            0.010163,           0.0056423,            0.012309,             0.64274,             0.78981,             0.75381,             0.72948,           0.0038889,           0.0035493,           0.0059796,            0.008713,            0.008713,            0.008713
                  15,           0.0096304,           0.0057952,            0.012628,             0.62848,             0.80085,             0.78452,             0.75429,           0.0036676,           0.0049333,           0.0056535,            0.008614,            0.008614,            0.008614
                  16,           0.0095953,           0.0055328,            0.013145,             0.73987,             0.79136,             0.81311,             0.79861,           0.0035615,           0.0039877,           0.0050373,            0.008515,            0.008515,            0.008515
                  17,           0.0089268,           0.0052666,            0.011808,             0.63766,             0.80506,             0.80153,             0.78509,           0.0026572,           0.0057088,           0.0053356,            0.008416,            0.008416,            0.008416
                  18,           0.0090678,           0.0052073,            0.012155,              0.6705,             0.83796,             0.78721,             0.78553,           0.0034006,           0.0051339,           0.0055004,            0.008317,            0.008317,            0.008317
                  19,           0.0086109,           0.0051902,            0.012006,             0.73656,             0.75941,              0.7899,             0.77836,           0.0040185,           0.0038413,            0.005259,            0.008218,            0.008218,            0.008218
                  20,           0.0086552,           0.0051648,            0.011957,             0.70158,             0.80427,             0.79652,             0.77599,           0.0030322,           0.0042104,           0.0053563,            0.008119,            0.008119,            0.008119
                  21,           0.0089579,           0.0049778,            0.012695,             0.70286,             0.87714,             0.83235,             0.79817,           0.0031018,           0.0035776,           0.0048905,             0.00802,             0.00802,             0.00802
                  22,           0.0088014,           0.0051112,            0.011899,             0.71685,             0.77033,             0.79116,             0.78694,           0.0028825,           0.0040156,           0.0055206,            0.007921,            0.007921,            0.007921
                  23,           0.0085778,           0.0047818,            0.012129,             0.69295,             0.81791,              0.7956,             0.79454,           0.0023817,           0.0037077,            0.006035,            0.007822,            0.007822,            0.007822
                  24,           0.0083529,           0.0047132,             0.01168,             0.63242,                0.82,             0.75266,             0.74888,           0.0025055,           0.0036551,            0.005639,            0.007723,            0.007723,            0.007723
                  25,           0.0084151,           0.0048908,             0.01154,             0.74218,             0.75298,             0.80006,             0.79798,            0.002423,           0.0035621,           0.0051768,            0.007624,            0.007624,            0.007624
                  26,           0.0072785,           0.0045561,             0.01168,             0.66304,             0.75262,             0.77195,             0.76392,           0.0026712,           0.0040928,           0.0057538,            0.007525,            0.007525,            0.007525
                  27,           0.0075674,           0.0046773,            0.010713,             0.71221,             0.81395,             0.82631,             0.82232,           0.0021422,           0.0064888,           0.0050352,            0.007426,            0.007426,            0.007426
                  28,           0.0071714,           0.0043024,            0.011614,             0.78199,             0.70162,             0.77076,             0.76875,            0.002286,           0.0048081,           0.0058716,            0.007327,            0.007327,            0.007327
                  29,           0.0073646,           0.0043105,            0.010967,             0.70706,             0.74273,             0.81265,             0.80656,           0.0022043,           0.0040416,           0.0052184,            0.007228,            0.007228,            0.007228
                  30,           0.0075618,           0.0042433,            0.010782,             0.70635,              0.8781,             0.83521,             0.83454,           0.0023227,            0.004683,           0.0047173,            0.007129,            0.007129,            0.007129
                  31,           0.0076011,            0.004335,            0.010499,             0.76052,             0.76188,             0.82729,             0.82459,            0.002091,           0.0045969,           0.0047746,             0.00703,             0.00703,             0.00703
                  32,           0.0072645,           0.0041386,            0.011149,             0.76308,             0.80247,             0.84806,             0.84777,           0.0022071,           0.0032087,           0.0045024,            0.006931,            0.006931,            0.006931
                  33,           0.0070992,           0.0040151,            0.011002,             0.69238,             0.81006,             0.83036,             0.82424,           0.0025348,           0.0034035,           0.0047848,            0.006832,            0.006832,            0.006832
