               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049708,            0.028212,            0.034923,             0.16003,             0.47525,             0.22325,             0.10994,             0.01675,            0.011581,            0.012407,            0.070194,           0.0033118,           0.0033118
                   1,            0.029569,            0.015469,            0.023183,             0.31752,             0.77578,             0.43824,             0.28943,            0.011981,           0.0059994,            0.010461,            0.040128,           0.0065794,           0.0065794
                   2,            0.026251,            0.011625,            0.020132,             0.29091,             0.64039,             0.41759,             0.38947,              0.0125,           0.0061216,            0.010735,            0.009996,           0.0097809,           0.0097809
                   3,            0.023202,            0.010049,            0.018613,             0.36241,             0.75138,             0.54422,             0.44429,           0.0089204,           0.0054454,           0.0079688,            0.009703,            0.009703,            0.009703
                   4,            0.019288,           0.0087675,            0.017643,             0.44422,             0.78751,             0.52007,             0.46423,           0.0061751,           0.0057112,            0.008266,            0.009703,            0.009703,            0.009703
                   5,             0.01715,            0.008501,            0.017708,             0.39116,             0.69773,              0.5262,             0.50967,           0.0055236,           0.0050748,            0.011614,            0.009604,            0.009604,            0.009604
                   6,            0.015374,           0.0077627,            0.015591,             0.61863,             0.80335,             0.73529,             0.70505,           0.0054437,           0.0043663,           0.0065256,            0.009505,            0.009505,            0.009505
                   7,            0.014124,           0.0071864,            0.015069,             0.59072,             0.76884,             0.70988,             0.70764,           0.0063925,           0.0056701,           0.0071892,            0.009406,            0.009406,            0.009406
                   8,            0.012357,           0.0066462,            0.013376,             0.68541,             0.75819,             0.75709,             0.75151,           0.0038643,            0.003517,           0.0062894,            0.009307,            0.009307,            0.009307
                   9,             0.01253,           0.0064022,            0.013548,             0.66761,             0.79467,             0.77232,             0.75288,           0.0039704,           0.0032586,           0.0063588,            0.009208,            0.009208,            0.009208
                  10,             0.01206,           0.0063991,             0.01371,             0.66186,             0.78035,             0.74852,             0.74826,           0.0061956,           0.0037014,           0.0065579,            0.009109,            0.009109,            0.009109
                  11,            0.010598,           0.0059172,            0.012726,             0.65971,             0.72949,             0.76099,             0.75668,           0.0048517,           0.0047398,           0.0062429,             0.00901,             0.00901,             0.00901
                  12,            0.013296,           0.0062717,            0.014198,             0.65082,             0.82165,             0.76807,             0.75997,           0.0037437,           0.0027662,            0.006395,            0.008911,            0.008911,            0.008911
                  13,            0.010701,           0.0060613,             0.01269,             0.72891,             0.75093,             0.79364,             0.79299,           0.0036547,           0.0037019,           0.0065162,            0.008812,            0.008812,            0.008812
                  14,            0.011248,           0.0055573,            0.012471,              0.5581,             0.84372,             0.75019,             0.73744,           0.0032716,           0.0026657,           0.0065195,            0.008713,            0.008713,            0.008713
                  15,           0.0097721,           0.0055315,            0.012463,             0.61095,             0.84303,             0.80579,             0.79991,           0.0034118,           0.0048268,           0.0055343,            0.008614,            0.008614,            0.008614
                  16,           0.0098444,           0.0054536,            0.012858,             0.66193,             0.76138,             0.78133,             0.75718,           0.0031973,           0.0029046,           0.0056849,            0.008515,            0.008515,            0.008515
                  17,           0.0090678,           0.0050526,            0.011912,             0.69202,             0.76854,             0.78348,             0.77391,           0.0024544,           0.0035444,           0.0058137,            0.008416,            0.008416,            0.008416
                  18,           0.0091053,           0.0049718,            0.011988,             0.59914,             0.79499,             0.77889,             0.77244,            0.002937,           0.0053067,           0.0065332,            0.008317,            0.008317,            0.008317
                  19,           0.0088286,           0.0050476,            0.011769,             0.68814,             0.84268,             0.80753,             0.77243,           0.0033648,           0.0038845,           0.0053791,            0.008218,            0.008218,            0.008218
                  20,           0.0091924,           0.0050063,            0.012036,             0.67844,             0.85065,             0.80337,             0.80031,           0.0026238,           0.0038978,           0.0053901,            0.008119,            0.008119,            0.008119
                  21,           0.0096282,           0.0049878,             0.01226,             0.64204,             0.79583,             0.76506,             0.76066,           0.0032675,            0.003796,           0.0064119,             0.00802,             0.00802,             0.00802
                  22,           0.0091691,           0.0049433,            0.011645,             0.66136,             0.84987,             0.81136,             0.80237,           0.0032909,           0.0033144,           0.0051071,            0.007921,            0.007921,            0.007921
                  23,           0.0089981,           0.0046352,             0.01175,             0.72669,              0.8245,             0.82639,             0.81898,           0.0024565,           0.0050748,           0.0051049,            0.007822,            0.007822,            0.007822
                  24,           0.0084317,           0.0045286,            0.011754,             0.71016,             0.79679,              0.8295,             0.82655,           0.0023671,           0.0036612,           0.0056033,            0.007723,            0.007723,            0.007723
                  25,           0.0082943,           0.0047109,            0.011383,             0.67784,             0.86238,             0.82515,             0.81881,            0.002138,           0.0036637,           0.0052054,            0.007624,            0.007624,            0.007624
                  26,           0.0074734,           0.0044031,             0.01172,             0.69101,              0.7785,             0.79078,             0.78976,           0.0029814,           0.0037734,           0.0057291,            0.007525,            0.007525,            0.007525
                  27,           0.0074505,           0.0044552,            0.010561,             0.67976,             0.77636,             0.77496,             0.77078,            0.002164,           0.0046192,            0.005825,            0.007426,            0.007426,            0.007426
                  28,           0.0073092,           0.0042726,            0.011418,             0.71302,             0.83194,             0.81276,             0.80767,           0.0017577,           0.0033844,           0.0052938,            0.007327,            0.007327,            0.007327
                  29,           0.0074153,           0.0041826,            0.010892,             0.71323,             0.78994,             0.83177,             0.83069,           0.0021408,           0.0031624,           0.0051389,            0.007228,            0.007228,            0.007228
