               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057273,            0.032393,            0.038709,           0.0030901,               0.925,            0.050175,            0.012624,            0.021136,            0.013418,            0.017079,            0.070194,           0.0033118,           0.0033118
                   1,            0.031965,            0.027688,             0.02884,             0.70852,             0.21827,             0.21038,            0.087232,            0.012365,            0.011641,            0.010961,            0.040128,           0.0065794,           0.0065794
                   2,            0.030457,            0.018121,            0.020946,             0.77979,             0.46967,             0.46988,             0.40882,           0.0089811,            0.007207,           0.0098239,            0.009996,           0.0097809,           0.0097809
                   3,            0.026798,            0.014097,            0.018964,             0.36549,             0.89918,             0.50418,             0.41915,             0.01121,           0.0044966,           0.0079892,            0.009703,            0.009703,            0.009703
                   4,            0.021906,            0.011834,             0.01756,             0.40333,             0.75237,             0.56187,             0.50679,           0.0068464,           0.0043757,           0.0082332,            0.009703,            0.009703,            0.009703
                   5,            0.019753,            0.010868,            0.018281,             0.81001,             0.49466,             0.57315,             0.47471,           0.0073099,           0.0045313,            0.008969,            0.009604,            0.009604,            0.009604
                   6,            0.017655,           0.0096985,            0.016305,             0.42557,             0.85649,             0.65883,             0.64369,           0.0057294,           0.0043495,           0.0074409,            0.009505,            0.009505,            0.009505
                   7,            0.016524,           0.0088961,            0.015664,             0.44461,             0.85024,             0.63417,             0.61786,           0.0056842,            0.004167,           0.0069204,            0.009406,            0.009406,            0.009406
                   8,            0.014564,           0.0081001,            0.014527,             0.53265,             0.77102,             0.68624,             0.63445,           0.0038731,           0.0034975,           0.0064232,            0.009307,            0.009307,            0.009307
                   9,            0.013487,           0.0074621,            0.014202,             0.53357,              0.8093,             0.65654,             0.58925,           0.0070266,           0.0038318,           0.0090594,            0.009208,            0.009208,            0.009208
                  10,             0.01326,           0.0073702,            0.014429,             0.66531,             0.83179,             0.78925,             0.77043,           0.0034579,           0.0032099,           0.0056947,            0.009109,            0.009109,            0.009109
                  11,            0.012325,           0.0068658,            0.013187,             0.55565,              0.8433,             0.69015,              0.6665,           0.0036225,           0.0043283,           0.0072396,             0.00901,             0.00901,             0.00901
                  12,            0.013965,            0.006917,            0.013509,             0.71484,              0.8374,             0.81075,             0.80211,           0.0029969,           0.0032974,           0.0057147,            0.008911,            0.008911,            0.008911
                  13,            0.012466,           0.0066082,            0.012476,             0.65043,             0.80932,             0.79092,              0.7859,           0.0034673,           0.0035589,           0.0058222,            0.008812,            0.008812,            0.008812
                  14,            0.012632,            0.006392,            0.012105,             0.65823,             0.84962,             0.78876,             0.77211,            0.004572,           0.0029458,            0.005648,            0.008713,            0.008713,            0.008713
                  15,            0.011409,           0.0061971,            0.012108,             0.67833,             0.87563,             0.81181,             0.77839,           0.0032329,           0.0032126,           0.0052916,            0.008614,            0.008614,            0.008614
                  16,            0.011253,           0.0059213,            0.011957,             0.70206,             0.85332,             0.82882,             0.80356,           0.0033468,           0.0033041,           0.0049481,            0.008515,            0.008515,            0.008515
                  17,            0.010468,           0.0057356,            0.011781,              0.6815,             0.79817,             0.79742,             0.79191,           0.0026189,           0.0037839,           0.0060171,            0.008416,            0.008416,            0.008416
                  18,            0.011081,           0.0055534,            0.011573,             0.71106,             0.82734,             0.81701,             0.79621,           0.0036411,           0.0037051,           0.0051045,            0.008317,            0.008317,            0.008317
                  19,            0.010556,           0.0057263,             0.01136,             0.70528,             0.85088,             0.82452,             0.81549,            0.003078,           0.0042038,           0.0048275,            0.008218,            0.008218,            0.008218
                  20,            0.010745,           0.0054878,            0.011614,             0.70126,             0.82587,             0.81731,              0.7891,           0.0030497,           0.0037766,           0.0051619,            0.008119,            0.008119,            0.008119
                  21,            0.010576,           0.0053943,            0.011613,             0.71308,             0.75543,             0.81159,             0.80204,           0.0029387,            0.004181,           0.0052148,             0.00802,             0.00802,             0.00802
                  22,           0.0099776,           0.0054381,            0.011203,             0.67021,             0.88537,              0.8125,             0.81148,           0.0031775,           0.0033115,            0.004978,            0.007921,            0.007921,            0.007921
                  23,            0.010022,           0.0051843,            0.011835,             0.71166,             0.83429,             0.82455,              0.8211,           0.0030226,           0.0036084,           0.0048376,            0.007822,            0.007822,            0.007822
                  24,           0.0098778,           0.0052734,            0.011888,             0.65215,             0.87381,             0.79015,             0.78759,           0.0025217,           0.0046521,           0.0059238,            0.007723,            0.007723,            0.007723
                  25,            0.010169,           0.0054016,             0.01122,             0.70129,             0.83736,             0.80846,             0.80543,           0.0025225,            0.004553,           0.0053602,            0.007624,            0.007624,            0.007624
                  26,           0.0087966,           0.0049232,            0.011022,             0.67869,             0.86781,             0.79575,              0.7738,           0.0024529,           0.0035099,           0.0052964,            0.007525,            0.007525,            0.007525
                  27,           0.0090014,           0.0050524,             0.01028,             0.70478,             0.84693,             0.82393,             0.80811,           0.0024457,             0.00628,           0.0051636,            0.007426,            0.007426,            0.007426
                  28,           0.0089447,           0.0049216,            0.011002,             0.70583,             0.84534,             0.82125,             0.81875,           0.0028407,           0.0043473,           0.0051161,            0.007327,            0.007327,            0.007327
                  29,           0.0091452,           0.0048577,            0.010734,             0.74578,             0.78516,             0.82332,             0.80561,           0.0024817,           0.0036571,           0.0049055,            0.007228,            0.007228,            0.007228
                  30,           0.0083824,            0.004691,            0.010475,             0.75086,             0.81431,             0.82583,             0.82472,           0.0020307,           0.0031648,           0.0049631,            0.007129,            0.007129,            0.007129
