               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055226,            0.032211,            0.038505,           0.0030649,             0.97935,            0.094195,            0.032349,            0.018496,            0.014685,            0.016348,            0.070194,           0.0033118,           0.0033118
                   1,            0.031722,            0.025634,            0.027442,             0.61614,             0.35458,             0.28431,             0.21847,            0.015953,            0.011069,            0.010266,            0.040128,           0.0065794,           0.0065794
                   2,            0.030976,            0.017282,            0.020066,             0.44651,             0.53435,             0.48598,              0.4185,            0.010791,           0.0073525,           0.0096922,            0.009996,           0.0097809,           0.0097809
                   3,            0.027169,            0.013727,            0.018706,             0.33902,             0.55237,              0.4482,             0.38303,           0.0092359,             0.00451,            0.015375,            0.009703,            0.009703,            0.009703
                   4,            0.021907,            0.011579,            0.017412,             0.38473,             0.86886,             0.57412,             0.48847,           0.0073119,           0.0039366,           0.0083903,            0.009703,            0.009703,            0.009703
                   5,            0.019549,            0.010451,            0.017498,             0.41037,             0.83557,             0.58642,              0.5674,           0.0056989,           0.0045853,              0.0076,            0.009604,            0.009604,            0.009604
                   6,            0.017689,           0.0091884,            0.016033,             0.52031,             0.86057,             0.66693,             0.64411,           0.0060647,            0.003348,            0.006834,            0.009505,            0.009505,            0.009505
                   7,            0.016376,           0.0085494,            0.015347,             0.50461,             0.83615,             0.67827,             0.63767,           0.0059635,           0.0040678,           0.0066886,            0.009406,            0.009406,            0.009406
                   8,            0.014304,           0.0080424,            0.013918,             0.58395,             0.81161,             0.70976,             0.68568,           0.0035211,           0.0033338,           0.0066043,            0.009307,            0.009307,            0.009307
                   9,            0.014702,           0.0075799,            0.014093,             0.68311,             0.79773,             0.77094,              0.7195,           0.0040427,           0.0040372,           0.0058876,            0.009208,            0.009208,            0.009208
                  10,            0.014062,           0.0073272,              0.0142,             0.62127,              0.8257,             0.75117,             0.74207,           0.0041899,           0.0033267,           0.0065602,            0.009109,            0.009109,            0.009109
                  11,            0.012685,           0.0067543,            0.013028,             0.64104,             0.81484,             0.76986,             0.73423,            0.003447,           0.0039883,           0.0060813,             0.00901,             0.00901,             0.00901
                  12,            0.014894,           0.0067251,            0.013088,             0.61698,             0.87076,             0.77343,             0.76066,           0.0030706,           0.0033296,           0.0055701,            0.008911,            0.008911,            0.008911
                  13,            0.012768,           0.0064494,            0.012197,              0.6611,             0.84515,             0.77837,              0.7586,           0.0033968,           0.0032117,           0.0055851,            0.008812,            0.008812,            0.008812
                  14,            0.012099,           0.0061805,            0.011822,             0.68003,             0.78714,             0.78082,             0.77695,           0.0048441,           0.0037426,           0.0072347,            0.008713,            0.008713,            0.008713
                  15,            0.011005,            0.006063,            0.011829,             0.64424,             0.78526,             0.77023,               0.745,           0.0036046,           0.0038374,           0.0063024,            0.008614,            0.008614,            0.008614
                  16,            0.011042,           0.0058067,            0.012018,             0.70832,             0.84854,             0.81484,             0.80758,            0.004563,           0.0034591,           0.0049553,            0.008515,            0.008515,            0.008515
                  17,            0.010604,           0.0055861,            0.011592,             0.66894,             0.83469,             0.78975,             0.77285,           0.0029902,           0.0051863,           0.0057344,            0.008416,            0.008416,            0.008416
                  18,            0.010618,           0.0055727,            0.011445,             0.67988,             0.84418,             0.82762,             0.81625,           0.0034555,           0.0037463,           0.0049279,            0.008317,            0.008317,            0.008317
                  19,           0.0099181,           0.0056613,            0.011444,             0.69289,             0.87904,             0.82239,              0.8197,           0.0035149,           0.0059475,           0.0049563,            0.008218,            0.008218,            0.008218
                  20,            0.010531,           0.0057297,            0.011477,             0.69868,             0.78202,             0.79165,             0.78349,           0.0029853,           0.0033074,           0.0054879,            0.008119,            0.008119,            0.008119
                  21,            0.010285,           0.0054514,            0.011527,             0.75167,             0.77637,             0.82914,             0.82389,           0.0027547,           0.0056619,            0.005053,             0.00802,             0.00802,             0.00802
                  22,             0.01074,            0.005617,              0.0113,             0.65697,             0.82293,             0.79934,             0.79743,           0.0032577,           0.0046822,           0.0054954,            0.007921,            0.007921,            0.007921
                  23,             0.01012,           0.0052707,            0.011506,             0.71248,             0.85443,             0.82566,             0.82245,           0.0032068,           0.0045832,            0.005021,            0.007822,            0.007822,            0.007822
