               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044323,            0.023112,            0.033306,             0.53314,             0.43882,             0.42572,             0.29591,              0.0109,           0.0061388,            0.011733,            0.070194,           0.0033118,           0.0033118
                   1,            0.029612,            0.011879,            0.021423,               0.354,             0.80028,             0.51203,              0.4607,           0.0091849,           0.0042779,           0.0088783,            0.040128,           0.0065794,           0.0065794
                   2,            0.026888,           0.0093613,            0.018248,             0.35334,              0.8362,             0.54895,             0.48356,           0.0093225,           0.0052166,           0.0082031,            0.009996,           0.0097809,           0.0097809
                   3,            0.022938,           0.0085216,            0.017193,             0.45462,             0.83746,             0.69062,             0.67508,           0.0083254,           0.0046949,           0.0071208,            0.009703,            0.009703,            0.009703
                   4,            0.019129,           0.0078091,             0.01525,             0.62608,             0.77658,             0.71619,             0.69578,           0.0088606,           0.0054773,           0.0073059,            0.009703,            0.009703,            0.009703
                   5,            0.017482,           0.0076606,            0.015743,              0.5564,             0.74729,             0.73243,             0.72311,            0.008105,           0.0042224,           0.0070613,            0.009604,            0.009604,            0.009604
                   6,            0.015422,           0.0070966,            0.014559,             0.51263,             0.76512,             0.67522,              0.6403,           0.0058451,           0.0047322,           0.0079506,            0.009505,            0.009505,            0.009505
                   7,            0.016656,           0.0066075,            0.014089,             0.66797,             0.85117,             0.78729,             0.78316,            0.004172,           0.0033727,           0.0060153,            0.009406,            0.009406,            0.009406
                   8,            0.013855,           0.0063647,            0.013446,             0.64822,             0.83171,             0.79331,             0.74396,           0.0043059,           0.0036632,           0.0058578,            0.009307,            0.009307,            0.009307
                   9,             0.01232,           0.0059803,            0.013192,              0.5889,               0.834,             0.78711,              0.7779,           0.0050064,           0.0038091,           0.0061349,            0.009208,            0.009208,            0.009208
                  10,             0.01199,           0.0059331,            0.013483,             0.66381,             0.81352,             0.79055,             0.78937,           0.0042726,           0.0031852,           0.0055258,            0.009109,            0.009109,            0.009109
                  11,            0.010725,           0.0056305,              0.0124,             0.73004,             0.81258,             0.81357,             0.80096,           0.0029476,           0.0024181,            0.005195,             0.00901,             0.00901,             0.00901
                  12,            0.012518,           0.0056108,            0.013086,             0.68073,             0.84085,             0.82579,             0.79521,           0.0038263,           0.0027295,           0.0059266,            0.008911,            0.008911,            0.008911
                  13,            0.010452,           0.0053295,             0.01196,              0.7271,             0.76717,             0.81941,             0.78324,           0.0035456,           0.0036624,           0.0050451,            0.008812,            0.008812,            0.008812
                  14,            0.010225,           0.0051517,            0.011357,             0.73206,             0.84608,             0.82206,             0.78718,           0.0033431,           0.0028168,           0.0049002,            0.008713,            0.008713,            0.008713
                  15,           0.0096786,           0.0050608,            0.011659,             0.65374,             0.75043,             0.77441,             0.76441,           0.0032789,            0.003741,           0.0057135,            0.008614,            0.008614,            0.008614
                  16,           0.0098608,           0.0049796,            0.011771,             0.72391,             0.85167,             0.84783,             0.82442,           0.0032101,           0.0029911,            0.004679,            0.008515,            0.008515,            0.008515
                  17,           0.0092675,           0.0047211,            0.011179,             0.67046,              0.8768,             0.84279,             0.82558,           0.0028422,           0.0040596,           0.0049763,            0.008416,            0.008416,            0.008416
                  18,           0.0091508,           0.0046431,            0.010956,             0.75835,             0.79618,             0.84976,             0.84022,           0.0028676,           0.0035187,           0.0050089,            0.008317,            0.008317,            0.008317
                  19,           0.0086193,           0.0046729,            0.011066,             0.73561,             0.85705,             0.85684,             0.85363,           0.0028649,           0.0040779,           0.0046878,            0.008218,            0.008218,            0.008218
                  20,           0.0086587,           0.0045791,            0.011026,             0.71302,             0.86305,             0.83333,             0.82856,           0.0028173,           0.0027876,            0.004952,            0.008119,            0.008119,            0.008119
                  21,            0.009081,           0.0045016,            0.011285,              0.7804,             0.81691,             0.83845,             0.82507,           0.0026231,           0.0032285,           0.0047786,             0.00802,             0.00802,             0.00802
                  22,           0.0084173,           0.0045108,            0.011031,             0.73211,             0.83935,             0.82938,             0.82059,           0.0024022,           0.0030154,           0.0049496,            0.007921,            0.007921,            0.007921
                  23,           0.0085324,           0.0043264,            0.011234,             0.72325,             0.83164,             0.83239,             0.81775,           0.0027528,           0.0039089,           0.0050414,            0.007822,            0.007822,            0.007822
                  24,           0.0084243,           0.0044422,            0.010951,             0.73765,             0.85556,             0.84389,             0.83825,           0.0022486,           0.0040248,           0.0049849,            0.007723,            0.007723,            0.007723
                  25,           0.0083577,           0.0044661,             0.01067,             0.71472,             0.84772,             0.83431,             0.83274,           0.0025919,           0.0030248,            0.004974,            0.007624,            0.007624,            0.007624
                  26,           0.0070698,           0.0042103,            0.010835,             0.74698,             0.78373,             0.81892,             0.81294,            0.002447,           0.0036825,           0.0050823,            0.007525,            0.007525,            0.007525
                  27,           0.0075115,            0.004115,           0.0098581,             0.73104,             0.82109,             0.82957,             0.81739,           0.0025421,           0.0048684,           0.0051417,            0.007426,            0.007426,            0.007426
                  28,           0.0072412,           0.0039759,            0.010638,             0.69671,             0.84099,             0.83329,             0.82434,           0.0022816,           0.0029285,           0.0051154,            0.007327,            0.007327,            0.007327
                  29,           0.0074225,           0.0041197,             0.01051,             0.71858,             0.87385,             0.84134,             0.83636,           0.0019972,           0.0031727,           0.0045156,            0.007228,            0.007228,            0.007228
                  30,           0.0070879,            0.004112,            0.010135,             0.72889,             0.87747,             0.85568,             0.84672,           0.0020681,           0.0030084,           0.0045036,            0.007129,            0.007129,            0.007129
                  31,           0.0070308,           0.0039455,           0.0097299,              0.7535,             0.87976,             0.86651,             0.86209,           0.0025813,           0.0048058,            0.004383,             0.00703,             0.00703,             0.00703
                  32,           0.0068644,           0.0038164,            0.010235,             0.75155,              0.8454,              0.8507,              0.8441,           0.0022043,           0.0034085,           0.0045285,            0.006931,            0.006931,            0.006931
                  33,           0.0065441,           0.0036719,             0.01022,             0.75866,              0.8649,             0.86415,             0.84979,           0.0021546,           0.0041793,           0.0044571,            0.006832,            0.006832,            0.006832
                  34,           0.0065676,           0.0037303,           0.0096048,             0.71759,              0.8767,             0.85225,             0.84631,           0.0022737,           0.0028697,           0.0044988,            0.006733,            0.006733,            0.006733
                  35,            0.006511,           0.0038764,            0.010131,             0.74697,              0.8672,             0.86393,             0.85281,           0.0020961,           0.0034097,           0.0044153,            0.006634,            0.006634,            0.006634
                  36,           0.0062305,           0.0038089,           0.0092644,              0.7476,             0.83345,             0.84177,             0.83458,           0.0021548,           0.0034191,             0.00483,            0.006535,            0.006535,            0.006535
                  37,           0.0066776,           0.0036339,           0.0097489,             0.74395,             0.87061,             0.85664,             0.85491,           0.0023364,            0.003054,           0.0044421,            0.006436,            0.006436,            0.006436
                  38,           0.0058269,           0.0036807,            0.010224,             0.73947,              0.8227,              0.8315,             0.82754,           0.0020842,           0.0019217,           0.0045929,            0.006337,            0.006337,            0.006337
                  39,           0.0062237,           0.0037041,           0.0089904,              0.7317,             0.85765,             0.83257,             0.82958,           0.0017611,           0.0034391,           0.0047109,            0.006238,            0.006238,            0.006238
                  40,           0.0061474,           0.0035394,           0.0095936,             0.73173,             0.87554,             0.85851,             0.85301,           0.0018063,           0.0041755,           0.0046124,            0.006139,            0.006139,            0.006139
                  41,           0.0070288,           0.0035176,           0.0096668,             0.77771,             0.83258,             0.85131,             0.84858,           0.0020245,           0.0034315,           0.0045888,             0.00604,             0.00604,             0.00604
                  42,           0.0062919,           0.0035902,           0.0098565,             0.76411,             0.82689,             0.85796,             0.84288,           0.0029723,           0.0041946,           0.0045453,            0.005941,            0.005941,            0.005941
                  43,           0.0058964,           0.0034683,           0.0091841,             0.74301,              0.8771,             0.85327,             0.84689,           0.0018153,           0.0027478,           0.0045841,            0.005842,            0.005842,            0.005842
                  44,           0.0056523,           0.0033591,           0.0096145,             0.76057,             0.85384,             0.85977,             0.85006,           0.0019376,           0.0036671,           0.0045216,            0.005743,            0.005743,            0.005743
                  45,           0.0055462,           0.0033725,           0.0092352,             0.70091,             0.84712,             0.84337,             0.84185,           0.0019427,           0.0029391,           0.0044754,            0.005644,            0.005644,            0.005644
                  46,           0.0059309,           0.0034653,           0.0084636,             0.76171,             0.84721,             0.84682,             0.83299,           0.0020509,           0.0043163,           0.0046719,            0.005545,            0.005545,            0.005545
                  47,           0.0052819,           0.0032908,           0.0082488,             0.79388,             0.80337,             0.83658,             0.83509,           0.0020322,            0.005137,           0.0046368,            0.005446,            0.005446,            0.005446
                  48,           0.0052688,           0.0032498,           0.0083656,             0.75548,              0.8511,             0.85844,             0.85652,           0.0019372,           0.0033884,           0.0044737,            0.005347,            0.005347,            0.005347
                  49,           0.0056878,           0.0032305,           0.0082576,             0.74664,             0.81745,             0.84905,              0.8474,           0.0016562,           0.0041958,           0.0045968,            0.005248,            0.005248,            0.005248
                  50,           0.0053864,           0.0032603,           0.0081688,             0.74247,             0.84989,             0.85219,             0.85176,           0.0015943,           0.0023348,           0.0047031,            0.005149,            0.005149,            0.005149
                  51,           0.0050861,           0.0033411,             0.00867,             0.73624,             0.89139,             0.85648,             0.85552,           0.0019031,           0.0024959,           0.0044234,             0.00505,             0.00505,             0.00505
                  52,           0.0050094,            0.003272,           0.0085337,             0.74989,             0.85787,             0.84512,             0.84511,           0.0017775,           0.0046366,           0.0047212,            0.004951,            0.004951,            0.004951
                  53,           0.0050947,           0.0032292,           0.0084732,              0.7288,             0.88206,             0.85211,             0.85124,           0.0018585,           0.0036465,            0.004875,            0.004852,            0.004852,            0.004852
                  54,           0.0050737,           0.0031057,           0.0082846,             0.75105,             0.88043,             0.86834,             0.86306,           0.0019731,           0.0029097,           0.0042773,            0.004753,            0.004753,            0.004753
                  55,           0.0044401,           0.0030287,           0.0076375,             0.72714,             0.87912,             0.85186,             0.85037,           0.0017426,           0.0023165,           0.0045456,            0.004654,            0.004654,            0.004654
                  56,            0.004743,           0.0030199,           0.0080209,             0.75631,             0.84988,             0.85411,             0.85264,           0.0018866,             0.00398,           0.0046559,            0.004555,            0.004555,            0.004555
                  57,           0.0045033,           0.0031008,           0.0082794,             0.73858,             0.83674,             0.84841,             0.84419,           0.0019289,           0.0049588,           0.0045065,            0.004456,            0.004456,            0.004456
                  58,           0.0043464,            0.002929,           0.0079738,             0.75682,             0.84935,              0.8561,             0.85391,           0.0020699,           0.0046355,           0.0045894,            0.004357,            0.004357,            0.004357
                  59,           0.0045201,           0.0030427,           0.0081446,             0.74911,             0.84254,             0.84398,             0.84016,           0.0018876,           0.0047138,           0.0049521,            0.004258,            0.004258,            0.004258
                  60,           0.0040742,            0.002949,           0.0081447,             0.73699,             0.84745,             0.83797,             0.83772,           0.0017251,           0.0029974,           0.0049414,            0.004159,            0.004159,            0.004159
                  61,           0.0044759,           0.0028232,           0.0084441,             0.74134,             0.85571,             0.84827,             0.84687,           0.0014874,           0.0032353,            0.004552,             0.00406,             0.00406,             0.00406
                  62,           0.0043281,           0.0028351,           0.0080982,              0.7844,              0.8188,             0.85892,             0.85645,           0.0017551,           0.0035251,             0.00457,            0.003961,            0.003961,            0.003961
                  63,           0.0042187,           0.0028462,            0.008212,             0.74606,             0.85925,             0.85028,             0.85005,           0.0015848,           0.0029188,           0.0047849,            0.003862,            0.003862,            0.003862
                  64,           0.0044569,           0.0029633,           0.0076829,             0.74976,             0.85045,             0.84011,             0.83865,           0.0017443,           0.0036146,           0.0048933,            0.003763,            0.003763,            0.003763
                  65,           0.0041904,           0.0028581,           0.0076801,             0.77791,               0.811,             0.84448,             0.84421,           0.0017514,           0.0029627,           0.0046924,            0.003664,            0.003664,            0.003664
                  66,           0.0037307,           0.0029285,           0.0072165,             0.75796,             0.82124,             0.84077,             0.84025,           0.0019162,           0.0038642,           0.0047833,            0.003565,            0.003565,            0.003565
                  67,            0.004167,           0.0027907,           0.0076911,              0.7266,             0.87945,             0.84385,             0.84318,            0.001572,           0.0027362,           0.0049234,            0.003466,            0.003466,            0.003466
                  68,           0.0038363,           0.0028407,           0.0071964,               0.721,             0.90439,              0.8566,             0.85596,           0.0014281,           0.0024693,           0.0044959,            0.003367,            0.003367,            0.003367
                  69,           0.0043331,           0.0028238,           0.0077619,             0.75146,              0.8698,             0.85856,             0.85826,           0.0016069,           0.0024644,           0.0044302,            0.003268,            0.003268,            0.003268
                  70,           0.0036395,            0.002684,           0.0075964,             0.72162,             0.89166,             0.85343,             0.85327,           0.0015251,           0.0034357,           0.0049179,            0.003169,            0.003169,            0.003169
                  71,           0.0038073,           0.0026402,           0.0067195,             0.77921,             0.80495,              0.8468,             0.84372,           0.0016398,            0.002574,            0.004814,             0.00307,             0.00307,             0.00307
                  72,            0.003985,           0.0026008,           0.0072278,             0.71321,             0.86406,             0.83366,             0.83244,           0.0014101,           0.0024972,           0.0049594,            0.002971,            0.002971,            0.002971
                  73,           0.0035569,           0.0026593,           0.0067882,             0.79656,             0.79896,             0.84268,             0.83793,           0.0015005,            0.002277,           0.0049635,            0.002872,            0.002872,            0.002872
                  74,           0.0033449,           0.0025279,           0.0068107,             0.75899,             0.86645,             0.85055,             0.84979,           0.0015342,           0.0029435,           0.0051563,            0.002773,            0.002773,            0.002773
                  75,           0.0037002,           0.0025471,           0.0070151,             0.78875,             0.80296,             0.83438,             0.83418,           0.0015693,           0.0030011,           0.0051262,            0.002674,            0.002674,            0.002674
                  76,            0.003328,           0.0025085,           0.0066907,             0.72374,             0.87355,             0.83411,             0.83378,           0.0015882,           0.0041508,            0.005002,            0.002575,            0.002575,            0.002575
                  77,           0.0029552,           0.0024003,            0.006512,             0.76226,             0.83897,             0.84045,             0.84011,           0.0015634,           0.0033028,           0.0049201,            0.002476,            0.002476,            0.002476
                  78,            0.003077,           0.0023991,           0.0067669,             0.72579,             0.87634,             0.84751,             0.84751,           0.0015926,           0.0038644,            0.004976,            0.002377,            0.002377,            0.002377
                  79,           0.0030953,            0.002336,           0.0068888,             0.77983,             0.82268,             0.85861,             0.85712,           0.0016404,           0.0039303,           0.0046911,            0.002278,            0.002278,            0.002278
                  80,           0.0031053,           0.0024476,           0.0073332,              0.7436,             0.85712,             0.84265,             0.84265,           0.0015074,           0.0031493,            0.004939,            0.002179,            0.002179,            0.002179
                  81,           0.0029123,           0.0024073,           0.0068602,             0.76429,             0.81456,             0.84661,             0.84349,           0.0015562,           0.0033596,           0.0050473,             0.00208,             0.00208,             0.00208
                  82,           0.0027525,           0.0023414,           0.0067084,             0.73374,             0.86347,             0.83451,             0.83389,           0.0013377,           0.0028487,           0.0051637,            0.001981,            0.001981,            0.001981
                  83,           0.0029606,           0.0023075,           0.0066906,             0.75495,             0.80755,             0.83374,             0.83341,            0.001563,           0.0027482,           0.0050971,            0.001882,            0.001882,            0.001882
                  84,           0.0028621,           0.0023154,           0.0060098,             0.77396,             0.81748,              0.8414,             0.84113,           0.0014779,           0.0022552,           0.0051377,            0.001783,            0.001783,            0.001783
                  85,           0.0026897,           0.0022091,           0.0058674,             0.74029,             0.87123,             0.84589,             0.84577,            0.001545,           0.0030536,           0.0051807,            0.001684,            0.001684,            0.001684
                  86,           0.0029164,           0.0022178,           0.0061481,              0.7486,             0.83947,             0.84087,             0.84072,           0.0015357,           0.0032994,           0.0052762,            0.001585,            0.001585,            0.001585
                  87,           0.0026994,           0.0021748,           0.0061339,             0.77202,             0.81303,              0.8369,             0.83648,           0.0016051,           0.0035307,           0.0051766,            0.001486,            0.001486,            0.001486
                  88,           0.0025048,           0.0021766,           0.0057609,             0.75802,             0.85264,             0.84173,             0.84135,           0.0016374,           0.0026726,           0.0050849,            0.001387,            0.001387,            0.001387
                  89,           0.0022339,           0.0021494,           0.0055575,             0.77446,             0.81527,             0.84372,             0.84372,           0.0015706,           0.0031604,           0.0053226,            0.001288,            0.001288,            0.001288
                  90,           0.0021686,           0.0020869,           0.0053322,             0.77852,              0.8399,             0.84928,             0.84886,           0.0015199,           0.0035363,           0.0051896,            0.001189,            0.001189,            0.001189
                  91,           0.0022203,           0.0021049,           0.0053062,             0.74988,             0.84803,             0.84003,             0.84003,           0.0014958,           0.0032273,           0.0053036,             0.00109,             0.00109,             0.00109
                  92,           0.0021254,           0.0019779,           0.0053903,             0.77128,             0.81025,             0.82523,              0.8252,           0.0014178,           0.0031409,           0.0058929,            0.000991,            0.000991,            0.000991
                  93,           0.0019629,           0.0019414,           0.0058672,             0.76064,              0.8304,             0.83989,             0.83965,           0.0014711,           0.0035217,           0.0053644,            0.000892,            0.000892,            0.000892
                  94,            0.002128,           0.0019865,           0.0049902,              0.7622,             0.82988,             0.83604,             0.83603,           0.0014287,           0.0038222,           0.0056806,            0.000793,            0.000793,            0.000793
                  95,           0.0020173,           0.0020372,            0.005566,             0.78535,             0.79245,             0.82616,             0.82616,           0.0014926,           0.0036279,           0.0059813,            0.000694,            0.000694,            0.000694
                  96,           0.0017024,           0.0019013,           0.0054468,             0.79522,             0.78791,             0.83804,             0.83804,           0.0014659,           0.0030936,           0.0057787,            0.000595,            0.000595,            0.000595
                  97,           0.0018026,            0.001842,           0.0052687,             0.79661,             0.78706,              0.8414,              0.8414,            0.001437,           0.0030552,             0.00566,            0.000496,            0.000496,            0.000496
                  98,           0.0016855,            0.001868,           0.0053677,             0.77395,             0.82073,             0.84263,             0.84263,           0.0014272,           0.0031664,           0.0055107,            0.000397,            0.000397,            0.000397
                  99,           0.0017596,           0.0018575,           0.0051757,             0.76558,             0.80487,             0.83637,             0.83637,           0.0014422,           0.0029984,           0.0057874,            0.000298,            0.000298,            0.000298
